Area,OMB MSA 1,Short,Long
S11A,71650,Boston,"Boston-Cambridge-Nashua, MA-NH"
S12A,35620,New York,"New York-Newark-Jersey City, NY-NJ-PA"
S12B,37980,Philadelphia,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD"
S23A,16980,Chicago,"Chicago-Naperville-Elgin, IL-IN-WI"
S23B,19820,Detroit,"Detroit-Warren-Dearborn, MI"
S24A,33460,Minneapolis-St. Paul,"Minneapolis-St. Paul-Bloomington, MN-WI"
S24B,41180,St. Louis,"St. Louis, MO-IL"
S35A,47900,Washington D.C.,"Washington-Arlington-Alexandria, DC-VA-MD-WV"
S35B,33100,Miami,"Miami-Fort Lauderdale-West Palm Beach, FL"
S35C,12060,Atlanta,"Atlanta-Sandy Springs-Roswell, GA"
S35D,45300,Tampa,"Tampa-St. Petersburg-Clearwater, FL"
S35E,12580,Baltimore,"Baltimore-Columbia-Towson, MD"
S37A,19100,Dallas-Fort Worth,"Dallas-Fort Worth-Arlington, TX"
S37B,26420,Houston,"Houston-The Woodlands-Sugar Land, TX"
S48A,38060,Phoenix,"Phoenix-Mesa-Scottsdale, AZ"
S48B,19740,Denver,"Denver-Aurora-Lakewood, CO"
S49A,31080,Los Angeles,"Los Angeles-Long Beach-Anaheim, CA"
S49B,41860,San Francisco,"San Francisco-Oakland-Hayward, CA"
S49C,40140,Riverside,"Riverside-San Bernardino-Ontario, CA"
S49D,42660,Seattle,"Seattle-Tacoma-Bellevue, WA"
S49E,41740,San Diego,"San Diego-Carlsbad, CA"
S49F,46520,Honolulu,"Urban Honolulu, HI"
S49G,11260,Anchorage,"Anchorage, AK"
